B_Nachthal_LED4;BOOL;190.01;LICHT36 - R39;0
A_Inkomhal1;BOOL;190.00;LICHT16 - R40;0
A_Keuken_Rolluik_Groot_Boven;BOOL;181.15;ROL01 - R08;0
A_Keuken_Rolluik_Groot_Start;BOOL;181.14;ROL01 - R07;0
B_Slaapkamer_kind_Rolluik_Boven;BOOL;181.13;ROL05 - R06;0
B_Slaapkamer_kind_Rolluik_Start;BOOL;181.12;ROL05 - R05;0
B_Badkamer_Rolluik_Beneden;BOOL;181.11;ROL04 - R04;0
B_Badkamer_Rolluik_Start;BOOL;181.10;ROL04 - R03;0
B_Nachthal2;BOOL;181.09;LICHT40 - R02;0
B_Nachthal1;BOOL;181.08;LICHT39 - R01;0
A_Living_Rolluik_Beneden;BOOL;181.07;ROL03 - R16;0
A_Living_Rolluik_Start;BOOL;181.06;ROL03 - R15;0
B_Terras_Rolluik_Boven;BOOL;181.05;ROL07 - R14;0
B_Terras_Rolluik_Start;BOOL;181.04;ROL07 - R13;0
B_Vide_Rolluik_Boven;BOOL;181.03;ROL06 - R12;0
B_Vide_Rolluik_Start;BOOL;181.02;ROL06 - R11;0
A_Keuken_Rolluik_Klein_Beneden;BOOL;181.01;ROL02 - R10;0
A_Keuken_Rolluik_Klein_Start;BOOL;181.00;ROL02 - R09;0
C_Zolder_Groot4;BOOL;180.15;LICHT60 - R25;0
C_Zolder_Groot2;BOOL;180.14;LICHT58 - R26;0
B_Slaapkamer1;BOOL;180.13;LICHT47 - R47;0
B_Slaapkamer2;BOOL;180.12;LICHT48 - R48;0
B_Badkamer_douche2;BOOL;180.11;LICHT29 - R29;0
B_Slaapkamer_kind;BOOL;180.10;LICHT32 - R30;0
B_Vide_Plafond;BOOL;180.09;LICHT44 - R31;0
B_Dressing_TL;BOOL;180.08;LICHT52 - R32;0
B_Nachthal_LED2;BOOL;180.07;LICHT34 - R61;0
B_Nachthal_LED3;BOOL;180.06;LICHT35 - R62;0
A_Inkomhal2;BOOL;180.05;LICHT17 - R63;0
A_Eetkamer3;BOOL;180.04;LICHT09 - R64;0
C_Stookruimte_TL;BOOL;180.03;LICHT53 - R21;0
B_Badkamer1;BOOL;180.02;LICHT28 - R22;0
B_WC;BOOL;180.01;LICHT31 - R23;0
B_Badkamer2;BOOL;180.00;LICHT27 - R24;0
A_Trap;BOOL;171.15;LICHT23 - R53;0
B_Badkamer_Lavabo;BOOL;171.14;LICHT26 - R54;0
A_Werkruimte3;BOOL;171.13;LICHT15 - R55;0
A_Portaal;BOOL;171.12;LICHT21 - R56;0
A_Berging;BOOL;171.11;LICHT20 - R57;0
A_Werkruimte2;BOOL;171.10;LICHT14 - R58;0
A_Werkruimte_TL;BOOL;171.09;LICHT12 - R59;0
B_Nachthal_LED1;BOOL;171.08;LICHT33 - R60;0
B_Badkamer_douche1;BOOL;171.07;LICHT30 - R19;0
C_Zolder_Groot3;BOOL;171.06;LICHT59 - R20;0
A_Trapleuning1;BOOL;171.05;LICHT24 - R47;0
A_Trapleuning2;BOOL;171.04;LICHT25 - R48;0
B_Nachthal_LED6;BOOL;171.03;LICHT38 - R49;0
A_Vestiaire;BOOL;171.02;LICHT18 - R50;0
B_Nachthal_LED5;BOOL;171.01;LICHT37 - R51;0
A_Werkruimte1;BOOL;171.00;LICHT13 - R52;0
B_Dressing_Knop_NC_20_2;BOOL;140.15;;0
B_Dressing_Knop_NC_20_1;BOOL;140.14;;0
C_Zolder_Groot_Knop_NO_21_4;BOOL;140.13;;0
C_Zolder_Groot_Knop_NC_21_3;BOOL;140.12;;0
C_Zolder_Groot_Knop_NC_21_2;BOOL;140.11;;0
C_Zolder_Klein_Knop_NC_23_4;BOOL;140.10;;0
C_Zolder_Klein_Knop_NC_23_3;BOOL;140.09;;0
C_Zolder_Klein_Knop_NC_23_2;BOOL;140.08;;0
C_Zolder_Groot_Knop_NC_21_1;BOOL;140.07;;0
C_Stookruimte_Knop_NO_22_1;BOOL;140.06;;0
